User_ID,percChange_1617,percChange_1718,percChange_1819,cluster_IDX,age,household_size,ownership,number_pets,household_has_garden,household_garden_area,household_has_pool,household_pool_volume,children9,children5_9,children0_4,number_bathrooms,number_adults,environmental_attitude,hausehold_has_irrigation_system,house_has_plants,balcony_has_plants,balcony_has_irrigation,number_toilets,number_faucets,number_bathtubs,number_showers,number_tub_showers,number_dishwasher_simple,number_washing_machine_simple,number_ClothesWasher,clothesWasher_efficiency,clothesWasher_ecomode,clothesWasher_timer,number_DishWasher,dishWasher_efficiency,dishWasher_ecomode,dishWasher_timer
AGM01672482001,-1.834819895695171,-23.065171334486138,-13.122307043059648,3,16.0,90.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,3.0,High environmental sensitivity,False,True,False,False,2.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,A+++,1.0,1.0,0.0,0,0.0,0.0
AGM01683220001,-1.0276606843130944,-25.854923661313737,-19.427430684757717,3,18.0,101.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,True,False,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,A,0.0,0.0,0.0,0,0.0,0.0
AGM01684496002,-18.130232649610882,-50.12564005075445,-22.324740925348593,3,6.0,39.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,1.0,1.0,Medium environmental sensitivity,False,False,False,False,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,A,0.0,0.0,0.0,0,0.0,0.0
AGM01702725002,-33.027890951479165,-2.362123934298963,-6.241255473082943,10,10.0,90.0,True,2.0,False,0.0,True,60.0,0.0,0.0,1.0,2.0,2.0,Medium environmental sensitivity,False,True,False,False,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,A+,1.0,1.0,1.0,A+,1.0,1.0
AGM01706533001,-16.379419055435825,-19.058188660307177,-21.21001326757568,4,16.0,100.0,True,0.0,False,0.0,False,0.0,0.0,1.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,True,False,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,A+++,1.0,1.0,1.0,A++,1.0,1.0
AGM01710469001,11.562578079284034,-10.858517591648372,-7.1066679626335105,3,17.0,70.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,A,1.0,0.0,0.0,0,0.0,0.0
AGM01715911001,1.2247958812733666,-10.249821911477355,-6.4662108450213225,3,16.0,90.0,True,1.0,False,0.0,False,0.0,2.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A,1.0,1.0
AGM01728414001,21.848096844835393,-19.609247323674538,29.217410763375383,6,20.0,11.0,True,0.0,False,0.0,False,0.0,1.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A++,1.0,1.0
AGM01767758001,-3.1943964213449805,-19.19245167536645,-32.6528226144953,3,14.0,80.0,True,0.0,False,0.0,False,0.0,0.0,1.0,1.0,2.0,2.0,High environmental sensitivity,False,True,True,True,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,A,1.0,0.0,1.0,A,1.0,0.0
AGM01768343001,-27.403646193632802,-33.869783637313866,-32.46927876261624,4,15.0,175.0,True,1.0,False,0.0,False,0.0,3.0,0.0,0.0,3.0,2.0,Medium environmental sensitivity,True,True,True,True,3.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,A+++,1.0,1.0,1.0,A+++,1.0,0.0
AGM01770946001,5.154494046140848,11.287113998412524,8.456063944589706,7,35.0,115.0,True,0.0,False,0.0,False,0.0,0.0,1.0,1.0,2.0,4.0,Medium environmental sensitivity,False,False,False,False,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A,1.0,0.0
AGM02000081001,38.36648251751621,39.241093628840865,54.37646157096725,7,40.0,55.0,True,2.0,False,0.0,False,0.0,0.0,1.0,0.0,1.0,3.0,Medium environmental sensitivity,False,True,False,False,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,A++,1.0,1.0,0.0,0,0.0,0.0
AGM02006003001,5.584816185555598,-0.7384667784284438,6.692480251926539,2,48.0,50.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,1.0,2.0,High environmental sensitivity,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A+++,1.0,1.0
AGM02007395001,-15.076371404592647,-8.043981147886512,46.32340635992485,6,50.0,87.0,True,0.0,False,0.0,False,0.0,2.0,0.0,1.0,1.0,2.0,Medium environmental sensitivity,False,True,True,False,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,A+++,1.0,1.0,1.0,A+,1.0,1.0
AGM02015748002,11.179017324864212,5.655408782339766,-40.03981155810047,4,16.0,170.0,True,0.0,False,0.0,False,0.0,1.0,0.0,0.0,3.0,2.0,High environmental sensitivity,False,True,False,False,3.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,A++,1.0,0.0,1.0,A+,0.0,0.0
AGM02018383001,-12.124607302666574,0.8715134329395345,-21.64816207439109,4,13.0,90.0,True,1.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,True,False,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,A++,1.0,0.0,1.0,A++,1.0,0.0
AGM02026161001,7.825311894969459,-5.86033205354706,-18.682717416700182,1,13.0,250.0,True,0.0,False,0.0,False,0.0,0.0,1.0,2.0,4.0,2.0,Low environmental sensitivity,False,True,True,False,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,A+,0.0,0.0,1.0,D,0.0,0.0
AGM02026863002,-13.088764562264618,-9.798818693945975,-3.0112301485036026,5,14.0,140.0,True,0.0,False,0.0,False,0.0,1.0,2.0,0.0,3.0,2.0,High environmental sensitivity,False,True,True,False,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0,1.0,1.0
AGM02027183001,-8.791571201008008,-16.148942110765788,-11.644584318617568,4,85.0,120.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,A++,1.0,0.0,0.0,0,0.0,0.0
AGM02033471001,-0.532898309728716,-12.433982751363105,-2.515448490401911,3,2004.0,109.0,True,0.0,False,0.0,False,0.0,0.0,2.0,0.0,2.0,2.0,Low environmental sensitivity,False,False,True,False,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,A+,1.0,1.0,1.0,A,1.0,1.0
AGM02035737001,5.130131325895292,3.693187434422856,68.68924608299747,6,12.0,75.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,1.0,High environmental sensitivity,False,True,True,False,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,A+,1.0,0.0,1.0,A+,1.0,0.0
AGM02036258001,0.5745421016203881,8.645269078641762,6.729393268891871,9,15.0,90.0,True,0.0,False,0.0,False,0.0,0.0,1.0,1.0,2.0,2.0,High environmental sensitivity,False,False,False,False,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,A+++,1.0,1.0,1.0,A+++,1.0,0.0
AGM02038368001,-9.812945397026754,-19.40908420910645,-19.066559368382286,4,12.0,75.0,True,0.0,False,0.0,False,0.0,0.0,0.0,1.0,2.0,2.0,High environmental sensitivity,False,True,True,False,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,B,1.0,1.0,1.0,A,1.0,0.0
AGM02041230001,-2.1806609960361456,5.939696230538994,36.76433414474569,6,50.0,90.0,True,1.0,False,0.0,False,0.0,0.0,1.0,2.0,2.0,2.0,Medium environmental sensitivity,False,True,True,False,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,A+++,1.0,1.0,1.0,A++,1.0,1.0
AGM02042112001,0.45788798816104764,-12.218302164759804,-16.15151390539174,3,35.0,110.0,True,0.0,False,0.0,False,0.0,0.0,2.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,A++,1.0,0.0,0.0,0,0.0,0.0
